umpire_name,umpire_race
Jordan Baker,white
Lance Barksdale,white
Lance Barrett,white
Ted Barrett,white
Scott Barry,white
Wally Bell,white
Dan Bellino,white
Cory Blaser,white
C.B. Bucknor,black
Vic Carapazza,white
Mark Carlson,white
Gary Cederstrom,white
Chris Conroy,white
Eric Cooper,white
Fieldin Culbreth,white
Phil Cuzzi,white
Kerwin Danley,black
Gary Darling,white
Bob Davidson,white
Gerry Davis,white
Dana DeMuth,white
Laz Diaz,black
Mike DiMuro,white
Rob Drake,white
Bruce Dreckman,white
Doug Eddings,white
Paul Emmel,white
Mike Estabrook,white
Mike Everitt,white
Chad Fairchild,white
Andy Fletcher,white
Marty Foster,white
Greg Gibson,white
Tripp Gibson,white
Manny Gonzalez,hispanic
Brian Gorman,white
Chris Guccione,white
Tom Hallion,white
Angel Hernandez,hispanic
Ed Hickox,white
John Hirschbeck,white
Sam Holbrook,white
James Hoye,white
Marvin Hudson,white
Dan Iassogna,white
Adrian Johnson,black
Jim Joyce,white
Jeff Kellogg,white
Brian Knight,white
Ron Kulpa,white
Jerry Layne,white
Will Little,white
Alfonso Marquez,hispanic
Tim McClelland,white
Jerry Meals,white
Bill Miller,white
Mike Muchlinski,white
Paul Nauert,white
Jeff Nelson,white
Brian O'Nora,white
Alan Porter,black
David Rackley,white
Tony Randazzo,white
D.J. Reyburn,white
Jim Reynolds,white
Mark Ripperger,white
Brian Runge,white
Paul Schrieber,white
Dale Scott,white
Todd Tichenor,white
Tim Timmons,white
Larry Vanover,white
Mark Wegner,white
Bill Welke,white
Tim Welke,white
Hunter Wendelstedt,white
Joe West,white
Mike Winters,white
Quinn Wolcott,white
Jim Wolf,white